comp0_c0_seq1	ofav0
comp1408_c0_seq1	ofav1408
comp1427_c0_seq1	ofav1427
comp1434_c0_seq1	ofav1434
comp1449_c0_seq1	ofav1449
comp1460_c0_seq1	ofav1460
comp1471_c0_seq1	ofav1471
comp1475_c0_seq1	ofav1475
comp1481_c0_seq1	ofav1481
comp1482_c0_seq1	ofav1482
comp1491_c0_seq1	ofav1491
comp1496_c0_seq1	ofav1496
comp1502_c0_seq1	ofav1502
comp1512_c0_seq1	ofav1512
comp1518_c0_seq1	ofav1518
comp1546_c0_seq1	ofav1546
comp1555_c0_seq1	ofav1555
comp1559_c0_seq1	ofav1559
comp1576_c0_seq1	ofav1576
comp1577_c0_seq1	ofav1577
comp1590_c0_seq1	ofav1590
comp1596_c0_seq1	ofav1596
comp1599_c0_seq1	ofav1599
comp1600_c0_seq1	ofav1600
comp1602_c0_seq1	ofav1602
comp1603_c0_seq1	ofav1603
comp1605_c0_seq1	ofav1605
comp1618_c0_seq1	ofav1618
comp1620_c0_seq1	ofav1620
comp1622_c0_seq1	ofav1622
comp1624_c0_seq1	ofav1624
comp1627_c0_seq1	ofav1627
comp1629_c0_seq1	ofav1629
comp1633_c0_seq1	ofav1633
comp1636_c0_seq1	ofav1636
comp1638_c0_seq1	ofav1638
comp1651_c0_seq1	ofav1651
comp1653_c0_seq1	ofav1653
comp1682_c0_seq1	ofav1682
comp1686_c0_seq1	ofav1686
comp1691_c0_seq1	ofav1691
comp1692_c0_seq1	ofav1692
comp1695_c0_seq1	ofav1695
comp1708_c0_seq1	ofav1708
comp1712_c0_seq1	ofav1712
comp1714_c0_seq1	ofav1714
comp1721_c0_seq1	ofav1721
comp1728_c0_seq1	ofav1728
comp1733_c0_seq1	ofav1733
comp1740_c0_seq1	ofav1740
comp1747_c0_seq1	ofav1747
comp1749_c0_seq1	ofav1749
comp1750_c0_seq1	ofav1750
comp1759_c0_seq1	ofav1759
comp1768_c0_seq1	ofav1768
comp1773_c0_seq1	ofav1773
comp1776_c0_seq1	ofav1776
comp1783_c0_seq1	ofav1783
comp1791_c0_seq2	ofav1791
comp1793_c0_seq1	ofav1793
comp1812_c0_seq1	ofav1812
comp1813_c0_seq1	ofav1813
comp1814_c0_seq1	ofav1814
comp1815_c0_seq1	ofav1815
comp1821_c0_seq1	ofav1821
comp1834_c0_seq1	ofav1834
comp1838_c0_seq1	ofav1838
comp1840_c0_seq1	ofav1840
comp1846_c0_seq1	ofav1846
comp1848_c0_seq1	ofav1848
comp1848_c0_seq2	ofav1848
comp1852_c0_seq1	ofav1852
comp1858_c0_seq1	ofav1858
comp1860_c0_seq1	ofav1860
comp1873_c0_seq1	ofav1873
comp1875_c0_seq1	ofav1875
comp1881_c0_seq1	ofav1881
comp1884_c0_seq1	ofav1884
comp1889_c0_seq1	ofav1889
comp1913_c0_seq1	ofav1913
comp1918_c0_seq1	ofav1918
comp1921_c0_seq1	ofav1921
comp1926_c0_seq1	ofav1926
comp1935_c0_seq1	ofav1935
comp1940_c0_seq1	ofav1940
comp1947_c0_seq1	ofav1947
comp1949_c0_seq1	ofav1949
comp1951_c0_seq1	ofav1951
comp1967_c0_seq1	ofav1967
comp1969_c0_seq1	ofav1969
comp1970_c0_seq1	ofav1970
comp1978_c0_seq1	ofav1978
comp1991_c0_seq1	ofav1991
comp1998_c0_seq1	ofav1998
comp2001_c0_seq1	ofav2001
comp2005_c0_seq1	ofav2005
comp2007_c0_seq1	ofav2007
comp2011_c0_seq1	ofav2011
comp2012_c0_seq1	ofav2012
comp2017_c0_seq1	ofav2017
comp2024_c0_seq1	ofav2024
comp2039_c0_seq1	ofav2039
comp2047_c0_seq1	ofav2047
comp2048_c0_seq1	ofav2048
comp2050_c0_seq1	ofav2050
comp2053_c0_seq1	ofav2053
comp2056_c0_seq1	ofav2056
comp2058_c0_seq1	ofav2058
comp2065_c0_seq1	ofav2065
comp2068_c0_seq1	ofav2068
comp2079_c0_seq1	ofav2079
comp2082_c0_seq1	ofav2082
comp2085_c0_seq1	ofav2085
comp2089_c0_seq1	ofav2089
comp2091_c0_seq1	ofav2091
comp2094_c0_seq1	ofav2094
comp2096_c0_seq1	ofav2096
comp2097_c0_seq1	ofav2097
comp2106_c0_seq1	ofav2106
comp2112_c0_seq1	ofav2112
comp2121_c0_seq1	ofav2121
comp2152_c0_seq1	ofav2152
comp2159_c0_seq1	ofav2159
comp2161_c0_seq1	ofav2161
comp2174_c0_seq1	ofav2174
comp2177_c0_seq1	ofav2177
comp2182_c0_seq1	ofav2182
comp2191_c0_seq1	ofav2191
comp2207_c0_seq1	ofav2207
comp2211_c0_seq1	ofav2211
comp2238_c0_seq1	ofav2238
comp2240_c0_seq1	ofav2240
comp2245_c0_seq1	ofav2245
comp2255_c0_seq1	ofav2255
comp2262_c0_seq1	ofav2262
comp2275_c0_seq1	ofav2275
comp2297_c0_seq1	ofav2297
comp2300_c0_seq1	ofav2300
comp2305_c0_seq1	ofav2305
comp2310_c0_seq1	ofav2310
comp2316_c0_seq1	ofav2316
comp2321_c0_seq1	ofav2321
comp2332_c0_seq1	ofav2332
comp2335_c0_seq1	ofav2335
comp2345_c0_seq1	ofav2345
comp2355_c0_seq1	ofav2355
comp2362_c0_seq1	ofav2362
comp2366_c0_seq1	ofav2366
comp2375_c0_seq1	ofav2375
comp2391_c0_seq1	ofav2391
comp2412_c0_seq1	ofav2412
comp2415_c0_seq1	ofav2415
comp2416_c0_seq1	ofav2416
comp2418_c0_seq1	ofav2418
comp2423_c0_seq1	ofav2423
comp2424_c0_seq1	ofav2424
comp2440_c0_seq1	ofav2440
comp2445_c0_seq1	ofav2445
comp2453_c0_seq1	ofav2453
comp2455_c0_seq1	ofav2455
comp2461_c0_seq1	ofav2461
comp2465_c0_seq1	ofav2465
comp2469_c0_seq1	ofav2469
comp2486_c0_seq1	ofav2486
comp2497_c0_seq1	ofav2497
comp2503_c0_seq1	ofav2503
comp2510_c0_seq1	ofav2510
comp2527_c0_seq1	ofav2527
comp2528_c0_seq1	ofav2528
comp2533_c0_seq1	ofav2533
comp2534_c0_seq1	ofav2534
comp2536_c0_seq1	ofav2536
comp2546_c0_seq1	ofav2546
comp2555_c0_seq1	ofav2555
comp2573_c0_seq1	ofav2573
comp2573_c0_seq2	ofav2573
comp2581_c0_seq1	ofav2581
comp2583_c0_seq1	ofav2583
comp2588_c0_seq1	ofav2588
comp2591_c0_seq1	ofav2591
comp2595_c0_seq1	ofav2595
comp2598_c0_seq1	ofav2598
comp2599_c0_seq1	ofav2599
comp2600_c0_seq1	ofav2600
comp2602_c0_seq1	ofav2602
comp2604_c0_seq1	ofav2604
comp2638_c0_seq1	ofav2638
comp2645_c0_seq1	ofav2645
comp2649_c0_seq1	ofav2649
comp2663_c0_seq1	ofav2663
comp2673_c0_seq1	ofav2673
comp2674_c0_seq1	ofav2674
comp2679_c0_seq1	ofav2679
comp2694_c0_seq1	ofav2694
comp2704_c0_seq1	ofav2704
comp2722_c0_seq1	ofav2722
comp2728_c0_seq1	ofav2728
comp2735_c0_seq1	ofav2735
comp2746_c0_seq1	ofav2746
comp2747_c0_seq1	ofav2747
comp2759_c0_seq1	ofav2759
comp2776_c0_seq1	ofav2776
comp2779_c0_seq1	ofav2779
comp2792_c0_seq1	ofav2792
comp2794_c0_seq1	ofav2794
comp2808_c0_seq1	ofav2808
comp2810_c0_seq1	ofav2810
comp2813_c0_seq1	ofav2813
comp2820_c0_seq1	ofav2820
comp2831_c0_seq1	ofav2831
comp2832_c0_seq1	ofav2832
comp2836_c0_seq1	ofav2836
comp2836_c0_seq2	ofav2836
comp2841_c0_seq1	ofav2841
comp2851_c0_seq1	ofav2851
comp2851_c0_seq2	ofav2851
comp2854_c0_seq1	ofav2854
comp2861_c0_seq1	ofav2861
comp2879_c0_seq1	ofav2879
comp2882_c0_seq1	ofav2882
comp2884_c0_seq1	ofav2884
comp2888_c0_seq1	ofav2888
comp2897_c0_seq1	ofav2897
comp2899_c0_seq1	ofav2899
comp2900_c0_seq1	ofav2900
comp2916_c0_seq1	ofav2916
comp2917_c0_seq1	ofav2917
comp2925_c0_seq1	ofav2925
comp2937_c0_seq1	ofav2937
comp2940_c0_seq1	ofav2940
comp2944_c0_seq1	ofav2944
comp2948_c0_seq1	ofav2948
comp2953_c0_seq1	ofav2953
comp2968_c0_seq1	ofav2968
comp2973_c0_seq1	ofav2973
comp2984_c0_seq1	ofav2984
comp2985_c0_seq1	ofav2985
comp3014_c0_seq1	ofav3014
comp3015_c0_seq1	ofav3015
comp3022_c0_seq1	ofav3022
comp3027_c0_seq1	ofav3027
comp3028_c0_seq1	ofav3028
comp3030_c0_seq1	ofav3030
comp3036_c0_seq1	ofav3036
comp3044_c0_seq1	ofav3044
comp3053_c0_seq1	ofav3053
comp3056_c0_seq1	ofav3056
comp3060_c0_seq1	ofav3060
comp3060_c0_seq2	ofav3060
comp3064_c0_seq1	ofav3064
comp3065_c0_seq1	ofav3065
comp3067_c0_seq1	ofav3067
comp3073_c0_seq1	ofav3073
comp3077_c0_seq1	ofav3077
comp3080_c0_seq1	ofav3080
comp3083_c0_seq1	ofav3083
comp3091_c0_seq1	ofav3091
comp3091_c0_seq2	ofav3091
comp3096_c0_seq1	ofav3096
comp3129_c0_seq1	ofav3129
comp3156_c0_seq1	ofav3156
comp3168_c0_seq1	ofav3168
comp3172_c0_seq1	ofav3172
comp3175_c0_seq1	ofav3175
comp3177_c0_seq1	ofav3177
comp3178_c0_seq1	ofav3178
comp3179_c0_seq1	ofav3179
comp3180_c0_seq1	ofav3180
comp3184_c0_seq1	ofav3184
comp3194_c0_seq1	ofav3194
comp3205_c0_seq1	ofav3205
comp3211_c0_seq1	ofav3211
comp3218_c0_seq1	ofav3218
comp3223_c0_seq1	ofav3223
comp3227_c0_seq1	ofav3227
comp3230_c0_seq1	ofav3230
comp3254_c0_seq1	ofav3254
comp3258_c0_seq1	ofav3258
comp3261_c0_seq1	ofav3261
comp3262_c0_seq1	ofav3262
comp3267_c0_seq1	ofav3267
comp3268_c0_seq1	ofav3268
comp3268_c0_seq2	ofav3268
comp3270_c0_seq1	ofav3270
comp3276_c0_seq1	ofav3276
comp3277_c0_seq1	ofav3277
comp3287_c0_seq1	ofav3287
comp3296_c0_seq1	ofav3296
comp3327_c0_seq1	ofav3327
comp3353_c0_seq1	ofav3353
comp3355_c0_seq1	ofav3355
comp3363_c0_seq1	ofav3363
comp3375_c0_seq1	ofav3375
comp3376_c0_seq1	ofav3376
comp3386_c0_seq1	ofav3386
comp3397_c0_seq1	ofav3397
comp3400_c0_seq1	ofav3400
comp3403_c0_seq1	ofav3403
comp3426_c0_seq1	ofav3426
comp3431_c0_seq1	ofav3431
comp3431_c0_seq2	ofav3431
comp3439_c0_seq1	ofav3439
comp3449_c0_seq1	ofav3449
comp3458_c0_seq1	ofav3458
comp3459_c0_seq1	ofav3459
comp3460_c0_seq1	ofav3460
comp3463_c0_seq1	ofav3463
comp3465_c0_seq1	ofav3465
comp3468_c0_seq1	ofav3468
comp3470_c0_seq1	ofav3470
comp3479_c0_seq1	ofav3479
comp3490_c0_seq1	ofav3490
comp3496_c0_seq1	ofav3496
comp3496_c0_seq2	ofav3496
comp3514_c0_seq1	ofav3514
comp3515_c0_seq1	ofav3515
comp3520_c0_seq1	ofav3520
comp3542_c0_seq1	ofav3542
comp3547_c0_seq1	ofav3547
comp3548_c0_seq1	ofav3548
comp3548_c0_seq2	ofav3548
comp3553_c0_seq1	ofav3553
comp3557_c0_seq1	ofav3557
comp3560_c0_seq1	ofav3560
comp3563_c0_seq1	ofav3563
comp3565_c0_seq1	ofav3565
comp3566_c0_seq1	ofav3566
comp3578_c0_seq1	ofav3578
comp3583_c0_seq1	ofav3583
comp3594_c0_seq1	ofav3594
comp3617_c0_seq1	ofav3617
comp3620_c0_seq1	ofav3620
comp3624_c0_seq1	ofav3624
comp3631_c0_seq1	ofav3631
comp3648_c0_seq1	ofav3648
comp3651_c0_seq1	ofav3651
comp3657_c0_seq1	ofav3657
comp3659_c0_seq1	ofav3659
comp3660_c0_seq1	ofav3660
comp3672_c0_seq1	ofav3672
comp3678_c0_seq1	ofav3678
comp3689_c0_seq1	ofav3689
comp3694_c0_seq1	ofav3694
comp3708_c0_seq1	ofav3708
comp3711_c0_seq1	ofav3711
comp3714_c0_seq1	ofav3714
comp3721_c0_seq1	ofav3721
comp3741_c0_seq1	ofav3741
comp3757_c0_seq1	ofav3757
comp3763_c0_seq1	ofav3763
comp3782_c0_seq1	ofav3782
comp3796_c0_seq1	ofav3796
comp3805_c0_seq1	ofav3805
comp3816_c0_seq1	ofav3816
comp3842_c0_seq1	ofav3842
comp3848_c0_seq1	ofav3848
comp3867_c0_seq1	ofav3867
comp3880_c0_seq1	ofav3880
comp3890_c0_seq1	ofav3890
comp3892_c0_seq1	ofav3892
comp3898_c0_seq1	ofav3898
comp3904_c0_seq1	ofav3904
comp3910_c0_seq1	ofav3910
comp3916_c0_seq1	ofav3916
comp3920_c0_seq1	ofav3920
comp3926_c0_seq1	ofav3926
comp3933_c0_seq1	ofav3933
comp3938_c0_seq1	ofav3938
comp3941_c0_seq1	ofav3941
comp3944_c0_seq1	ofav3944
comp3949_c0_seq1	ofav3949
comp3959_c0_seq1	ofav3959
comp3961_c0_seq1	ofav3961
comp3980_c0_seq1	ofav3980
comp3980_c0_seq2	ofav3980
comp3981_c0_seq1	ofav3981
comp3982_c0_seq1	ofav3982
comp3986_c0_seq1	ofav3986
comp4008_c0_seq1	ofav4008
comp4027_c0_seq1	ofav4027
comp4031_c0_seq1	ofav4031
comp4032_c0_seq1	ofav4032
comp4041_c0_seq1	ofav4041
comp4060_c0_seq1	ofav4060
comp4065_c0_seq1	ofav4065
comp4081_c0_seq1	ofav4081
comp4091_c0_seq1	ofav4091
comp4101_c0_seq1	ofav4101
comp4105_c0_seq1	ofav4105
comp4117_c0_seq1	ofav4117
comp4118_c0_seq1	ofav4118
comp4124_c0_seq1	ofav4124
comp4129_c0_seq1	ofav4129
comp4131_c0_seq1	ofav4131
comp4138_c0_seq1	ofav4138
comp4150_c0_seq1	ofav4150
comp4155_c0_seq1	ofav4155
comp4160_c0_seq1	ofav4160
comp4168_c0_seq1	ofav4168
comp4187_c0_seq1	ofav4187
comp4189_c0_seq1	ofav4189
comp4198_c0_seq1	ofav4198
comp4200_c0_seq1	ofav4200
comp4202_c0_seq1	ofav4202
comp4207_c0_seq1	ofav4207
comp4210_c0_seq1	ofav4210
comp4212_c0_seq1	ofav4212
comp4217_c0_seq1	ofav4217
comp4239_c0_seq1	ofav4239
comp4248_c0_seq1	ofav4248
comp4250_c0_seq1	ofav4250
comp4250_c0_seq2	ofav4250
comp4260_c0_seq1	ofav4260
comp4263_c0_seq2	ofav4263
comp4283_c0_seq1	ofav4283
comp4294_c0_seq2	ofav4294
comp4295_c0_seq1	ofav4295
comp4297_c0_seq1	ofav4297
comp4298_c0_seq2	ofav4298
comp4308_c0_seq1	ofav4308
comp4311_c0_seq1	ofav4311
comp4332_c0_seq1	ofav4332
comp4336_c0_seq1	ofav4336
comp4338_c0_seq1	ofav4338
comp4339_c0_seq1	ofav4339
comp4343_c0_seq1	ofav4343
comp4347_c0_seq1	ofav4347
comp4353_c0_seq1	ofav4353
comp4354_c0_seq1	ofav4354
comp4355_c0_seq1	ofav4355
comp4364_c0_seq1	ofav4364
comp4367_c0_seq1	ofav4367
comp4368_c0_seq1	ofav4368
comp4378_c0_seq1	ofav4378
comp4385_c0_seq1	ofav4385
comp4387_c0_seq1	ofav4387
comp4392_c0_seq1	ofav4392
comp4393_c0_seq1	ofav4393
comp4396_c0_seq1	ofav4396
comp4402_c0_seq1	ofav4402
comp4407_c0_seq1	ofav4407
comp4409_c0_seq1	ofav4409
comp4412_c0_seq1	ofav4412
comp4415_c0_seq1	ofav4415
comp4419_c0_seq1	ofav4419
comp4432_c0_seq1	ofav4432
comp4433_c0_seq1	ofav4433
comp4437_c0_seq1	ofav4437
comp4449_c0_seq1	ofav4449
comp4456_c0_seq1	ofav4456
comp4460_c0_seq1	ofav4460
comp4461_c0_seq1	ofav4461
comp4463_c0_seq1	ofav4463
comp4471_c0_seq1	ofav4471
comp4478_c0_seq1	ofav4478
comp4480_c0_seq1	ofav4480
comp4494_c0_seq1	ofav4494
comp4503_c0_seq1	ofav4503
comp4510_c0_seq1	ofav4510
comp4511_c0_seq1	ofav4511
comp4522_c0_seq1	ofav4522
comp4525_c0_seq1	ofav4525
comp4540_c0_seq1	ofav4540
comp4541_c0_seq1	ofav4541
comp4543_c0_seq1	ofav4543
comp4552_c0_seq1	ofav4552
comp4571_c0_seq1	ofav4571
comp4577_c0_seq1	ofav4577
comp4579_c0_seq1	ofav4579
comp4584_c0_seq1	ofav4584
comp4593_c0_seq1	ofav4593
comp4594_c0_seq1	ofav4594
comp4597_c0_seq1	ofav4597
comp4607_c0_seq1	ofav4607
comp4613_c0_seq1	ofav4613
comp4616_c0_seq1	ofav4616
comp4616_c0_seq2	ofav4616
comp4623_c0_seq1	ofav4623
comp4640_c0_seq1	ofav4640
comp4650_c0_seq1	ofav4650
comp4653_c0_seq1	ofav4653
comp4659_c0_seq1	ofav4659
comp4678_c0_seq1	ofav4678
comp4682_c0_seq1	ofav4682
comp4685_c0_seq1	ofav4685
comp4692_c0_seq1	ofav4692
comp4693_c0_seq1	ofav4693
comp4696_c0_seq1	ofav4696
comp4698_c0_seq1	ofav4698
comp4713_c0_seq1	ofav4713
comp4721_c0_seq1	ofav4721
comp4737_c0_seq1	ofav4737
comp4738_c0_seq1	ofav4738
comp4755_c0_seq1	ofav4755
comp4770_c0_seq1	ofav4770
comp4773_c0_seq1	ofav4773
comp4777_c0_seq1	ofav4777
comp4779_c0_seq1	ofav4779
comp4783_c0_seq1	ofav4783
comp4787_c0_seq1	ofav4787
comp4794_c0_seq1	ofav4794
comp4799_c0_seq1	ofav4799
comp4801_c0_seq1	ofav4801
comp4811_c0_seq1	ofav4811
comp4816_c0_seq1	ofav4816
comp4827_c0_seq1	ofav4827
comp4831_c0_seq1	ofav4831
comp4832_c0_seq1	ofav4832
comp4835_c0_seq1	ofav4835
comp4840_c0_seq1	ofav4840
comp4842_c0_seq1	ofav4842
comp4843_c0_seq1	ofav4843
comp4848_c0_seq1	ofav4848
comp4849_c0_seq1	ofav4849
comp4853_c0_seq1	ofav4853
comp4861_c0_seq1	ofav4861
comp4870_c0_seq1	ofav4870
comp4874_c0_seq1	ofav4874
comp4879_c0_seq1	ofav4879
comp4885_c0_seq1	ofav4885
comp4889_c0_seq1	ofav4889
comp4897_c0_seq1	ofav4897
comp4899_c0_seq1	ofav4899
comp4909_c0_seq1	ofav4909
comp4914_c0_seq1	ofav4914
comp4916_c0_seq1	ofav4916
comp4921_c0_seq1	ofav4921
comp4922_c0_seq1	ofav4922
comp4923_c0_seq1	ofav4923
comp4925_c0_seq1	ofav4925
comp4936_c0_seq1	ofav4936
comp4937_c0_seq1	ofav4937
comp4941_c0_seq1	ofav4941
comp4942_c0_seq1	ofav4942
comp4943_c0_seq1	ofav4943
comp4944_c0_seq1	ofav4944
comp4947_c0_seq1	ofav4947
comp4947_c0_seq2	ofav4947
comp4953_c0_seq1	ofav4953
comp4962_c0_seq1	ofav4962
comp4966_c0_seq1	ofav4966
comp4967_c0_seq1	ofav4967
comp4968_c0_seq1	ofav4968
comp4982_c0_seq1	ofav4982
comp4983_c0_seq1	ofav4983
comp4985_c0_seq1	ofav4985
comp4986_c0_seq1	ofav4986
comp4997_c0_seq1	ofav4997
comp4997_c0_seq2	ofav4997
comp5000_c0_seq1	ofav5000
comp5001_c0_seq1	ofav5001
comp5013_c0_seq1	ofav5013
comp5015_c0_seq1	ofav5015
comp5017_c0_seq1	ofav5017
comp5018_c0_seq1	ofav5018
comp5027_c0_seq1	ofav5027
comp5029_c0_seq1	ofav5029
comp5030_c0_seq1	ofav5030
comp5032_c0_seq1	ofav5032
comp5037_c0_seq1	ofav5037
comp5045_c0_seq1	ofav5045
comp5060_c0_seq1	ofav5060
comp5068_c0_seq1	ofav5068
comp5071_c0_seq1	ofav5071
comp5078_c0_seq1	ofav5078
comp5082_c0_seq2	ofav5082
comp5089_c0_seq1	ofav5089
comp5094_c0_seq1	ofav5094
comp5095_c0_seq1	ofav5095
comp5097_c0_seq1	ofav5097
comp5098_c0_seq1	ofav5098
comp5103_c0_seq1	ofav5103
comp5106_c0_seq1	ofav5106
comp5112_c0_seq1	ofav5112
comp5119_c0_seq1	ofav5119
comp5120_c0_seq1	ofav5120
comp5123_c0_seq1	ofav5123
comp5125_c0_seq1	ofav5125
comp5126_c0_seq1	ofav5126
comp5126_c0_seq2	ofav5126
comp5127_c0_seq1	ofav5127
comp5128_c0_seq1	ofav5128
